# learning rate : 0.002
# batch size : 64
# max_iteration : 200000
# learning rate : 0.002
# batch size : 64
# max_iteration : 200000
[i] iter = 100, loss = 1.9317, x_loss = 1.8560, l2_reg_loss = 0.0757, accuracy = 14.28, train_time = 11sec
[i] iter = 45600, loss = 0.3686, x_loss = 0.1995, l2_reg_loss = 0.1690, accuracy = 97.16, train_time = 7sec
[i] iter = 45700, loss = 0.3851, x_loss = 0.2160, l2_reg_loss = 0.1691, accuracy = 96.95, train_time = 7sec
[i] iter = 45800, loss = 0.3930, x_loss = 0.2237, l2_reg_loss = 0.1694, accuracy = 96.61, train_time = 7sec
[i] iter = 45900, loss = 0.3789, x_loss = 0.2094, l2_reg_loss = 0.1695, accuracy = 96.69, train_time = 7sec
[i] iter = 46000, loss = 0.3827, x_loss = 0.2135, l2_reg_loss = 0.1692, accuracy = 96.89, train_time = 7sec
[i] iter = 46100, loss = 0.3685, x_loss = 0.1991, l2_reg_loss = 0.1693, accuracy = 97.06, train_time = 7sec
[i] iter = 46200, loss = 0.3829, x_loss = 0.2139, l2_reg_loss = 0.1691, accuracy = 96.94, train_time = 7sec
[i] iter = 46300, loss = 0.3951, x_loss = 0.2257, l2_reg_loss = 0.1694, accuracy = 96.73, train_time = 7sec
[i] iter = 46400, loss = 0.3867, x_loss = 0.2171, l2_reg_loss = 0.1696, accuracy = 96.88, train_time = 7sec
[i] iter = 46500, loss = 0.3909, x_loss = 0.2212, l2_reg_loss = 0.1696, accuracy = 96.92, train_time = 7sec
[i] iter = 46600, loss = 0.3732, x_loss = 0.2037, l2_reg_loss = 0.1695, accuracy = 97.03, train_time = 7sec
[i] iter = 46700, loss = 0.3862, x_loss = 0.2167, l2_reg_loss = 0.1694, accuracy = 96.61, train_time = 7sec
[i] iter = 46800, loss = 0.3754, x_loss = 0.2063, l2_reg_loss = 0.1691, accuracy = 97.11, train_time = 7sec
[i] iter = 46900, loss = 0.3918, x_loss = 0.2230, l2_reg_loss = 0.1688, accuracy = 96.55, train_time = 7sec
[i] iter = 47000, loss = 0.3904, x_loss = 0.2214, l2_reg_loss = 0.1690, accuracy = 96.64, train_time = 7sec
[i] iter = 47100, loss = 0.3841, x_loss = 0.2150, l2_reg_loss = 0.1692, accuracy = 96.64, train_time = 7sec
[i] iter = 47200, loss = 0.3718, x_loss = 0.2026, l2_reg_loss = 0.1692, accuracy = 96.92, train_time = 7sec
[i] iter = 47300, loss = 0.3616, x_loss = 0.1929, l2_reg_loss = 0.1687, accuracy = 96.94, train_time = 7sec
[i] iter = 47400, loss = 0.3816, x_loss = 0.2131, l2_reg_loss = 0.1685, accuracy = 96.81, train_time = 7sec
[i] iter = 47500, loss = 0.3691, x_loss = 0.2005, l2_reg_loss = 0.1686, accuracy = 97.28, train_time = 7sec
[i] iter = 47600, loss = 0.3663, x_loss = 0.1978, l2_reg_loss = 0.1686, accuracy = 97.08, train_time = 7sec
[i] iter = 47700, loss = 0.3762, x_loss = 0.2076, l2_reg_loss = 0.1687, accuracy = 97.17, train_time = 7sec
[i] iter = 47800, loss = 0.3792, x_loss = 0.2106, l2_reg_loss = 0.1685, accuracy = 97.09, train_time = 7sec
[i] iter = 47900, loss = 0.3839, x_loss = 0.2151, l2_reg_loss = 0.1687, accuracy = 96.69, train_time = 7sec
[i] iter = 48000, loss = 0.3830, x_loss = 0.2140, l2_reg_loss = 0.1690, accuracy = 96.69, train_time = 7sec
[i] iter = 48100, loss = 0.3836, x_loss = 0.2149, l2_reg_loss = 0.1687, accuracy = 96.67, train_time = 7sec
[i] iter = 48200, loss = 0.3782, x_loss = 0.2098, l2_reg_loss = 0.1685, accuracy = 96.94, train_time = 7sec
[i] iter = 48300, loss = 0.3561, x_loss = 0.1877, l2_reg_loss = 0.1685, accuracy = 97.31, train_time = 7sec
[i] iter = 48400, loss = 0.3768, x_loss = 0.2086, l2_reg_loss = 0.1683, accuracy = 96.69, train_time = 7sec
[i] iter = 48500, loss = 0.3792, x_loss = 0.2110, l2_reg_loss = 0.1683, accuracy = 96.73, train_time = 7sec
[i] iter = 48600, loss = 0.3773, x_loss = 0.2089, l2_reg_loss = 0.1684, accuracy = 97.00, train_time = 7sec
[i] iter = 48700, loss = 0.3920, x_loss = 0.2235, l2_reg_loss = 0.1685, accuracy = 96.58, train_time = 7sec
[i] iter = 48800, loss = 0.3816, x_loss = 0.2128, l2_reg_loss = 0.1688, accuracy = 96.75, train_time = 7sec
[i] iter = 48900, loss = 0.3895, x_loss = 0.2202, l2_reg_loss = 0.1694, accuracy = 96.27, train_time = 7sec
[i] iter = 49000, loss = 0.3805, x_loss = 0.2112, l2_reg_loss = 0.1693, accuracy = 96.88, train_time = 7sec
[i] iter = 49100, loss = 0.3898, x_loss = 0.2205, l2_reg_loss = 0.1692, accuracy = 96.66, train_time = 7sec
[i] iter = 49200, loss = 0.3720, x_loss = 0.2026, l2_reg_loss = 0.1694, accuracy = 96.98, train_time = 7sec
[i] iter = 49300, loss = 0.3620, x_loss = 0.1930, l2_reg_loss = 0.1691, accuracy = 97.17, train_time = 7sec
[i] iter = 49400, loss = 0.3724, x_loss = 0.2037, l2_reg_loss = 0.1687, accuracy = 97.16, train_time = 7sec
[i] iter = 49500, loss = 0.3822, x_loss = 0.2132, l2_reg_loss = 0.1690, accuracy = 96.86, train_time = 7sec
[i] iter = 49600, loss = 0.3736, x_loss = 0.2046, l2_reg_loss = 0.1690, accuracy = 97.02, train_time = 7sec
[i] iter = 49700, loss = 0.3711, x_loss = 0.2023, l2_reg_loss = 0.1688, accuracy = 96.70, train_time = 7sec
[i] iter = 49800, loss = 0.3682, x_loss = 0.1996, l2_reg_loss = 0.1686, accuracy = 97.16, train_time = 7sec
[i] iter = 49900, loss = 0.3622, x_loss = 0.1937, l2_reg_loss = 0.1685, accuracy = 97.33, train_time = 7sec
[i] iter = 50000, loss = 0.3864, x_loss = 0.2179, l2_reg_loss = 0.1685, accuracy = 96.59, train_time = 7sec
[i] iter = 50000, test_accuracy = 92.56, test_time = 1sec
[i] iter = 50100, loss = 0.3861, x_loss = 0.2169, l2_reg_loss = 0.1692, accuracy = 96.72, train_time = 8sec
[i] iter = 50200, loss = 0.3786, x_loss = 0.2101, l2_reg_loss = 0.1685, accuracy = 96.39, train_time = 7sec
[i] iter = 50300, loss = 0.3794, x_loss = 0.2111, l2_reg_loss = 0.1684, accuracy = 96.72, train_time = 7sec
[i] iter = 50400, loss = 0.3638, x_loss = 0.1955, l2_reg_loss = 0.1683, accuracy = 96.86, train_time = 7sec
[i] iter = 50500, loss = 0.3668, x_loss = 0.1988, l2_reg_loss = 0.1680, accuracy = 97.09, train_time = 7sec
[i] iter = 50600, loss = 0.3735, x_loss = 0.2055, l2_reg_loss = 0.1680, accuracy = 97.19, train_time = 7sec
[i] iter = 50700, loss = 0.3780, x_loss = 0.2099, l2_reg_loss = 0.1682, accuracy = 96.78, train_time = 7sec
[i] iter = 50800, loss = 0.3659, x_loss = 0.1976, l2_reg_loss = 0.1683, accuracy = 97.42, train_time = 7sec
[i] iter = 50900, loss = 0.3836, x_loss = 0.2154, l2_reg_loss = 0.1683, accuracy = 97.00, train_time = 7sec
[i] iter = 51000, loss = 0.3901, x_loss = 0.2217, l2_reg_loss = 0.1684, accuracy = 96.61, train_time = 7sec
[i] iter = 51100, loss = 0.3632, x_loss = 0.1948, l2_reg_loss = 0.1684, accuracy = 97.27, train_time = 7sec
[i] iter = 51200, loss = 0.3775, x_loss = 0.2093, l2_reg_loss = 0.1682, accuracy = 97.08, train_time = 7sec
[i] iter = 51300, loss = 0.3784, x_loss = 0.2102, l2_reg_loss = 0.1682, accuracy = 96.80, train_time = 7sec
[i] iter = 51400, loss = 0.3655, x_loss = 0.1971, l2_reg_loss = 0.1683, accuracy = 97.28, train_time = 7sec
[i] iter = 51500, loss = 0.3861, x_loss = 0.2175, l2_reg_loss = 0.1686, accuracy = 96.89, train_time = 7sec
[i] iter = 51600, loss = 0.3684, x_loss = 0.1993, l2_reg_loss = 0.1690, accuracy = 97.34, train_time = 7sec
[i] iter = 51700, loss = 0.3696, x_loss = 0.2012, l2_reg_loss = 0.1685, accuracy = 97.19, train_time = 7sec
[i] iter = 51800, loss = 0.3767, x_loss = 0.2084, l2_reg_loss = 0.1683, accuracy = 97.05, train_time = 7sec
[i] iter = 51900, loss = 0.3661, x_loss = 0.1974, l2_reg_loss = 0.1687, accuracy = 97.52, train_time = 7sec
[i] iter = 52000, loss = 0.3757, x_loss = 0.2074, l2_reg_loss = 0.1683, accuracy = 96.84, train_time = 7sec
[i] iter = 52100, loss = 0.3859, x_loss = 0.2172, l2_reg_loss = 0.1687, accuracy = 96.75, train_time = 7sec
[i] iter = 52200, loss = 0.3857, x_loss = 0.2168, l2_reg_loss = 0.1689, accuracy = 96.72, train_time = 7sec
[i] iter = 52300, loss = 0.3686, x_loss = 0.1998, l2_reg_loss = 0.1688, accuracy = 96.95, train_time = 7sec
[i] iter = 52400, loss = 0.3872, x_loss = 0.2187, l2_reg_loss = 0.1685, accuracy = 96.53, train_time = 7sec
[i] iter = 52500, loss = 0.3806, x_loss = 0.2118, l2_reg_loss = 0.1688, accuracy = 96.94, train_time = 7sec
[i] iter = 52600, loss = 0.3788, x_loss = 0.2098, l2_reg_loss = 0.1690, accuracy = 96.94, train_time = 7sec
[i] iter = 52700, loss = 0.3600, x_loss = 0.1910, l2_reg_loss = 0.1690, accuracy = 97.12, train_time = 7sec
[i] iter = 52800, loss = 0.3635, x_loss = 0.1950, l2_reg_loss = 0.1686, accuracy = 97.16, train_time = 7sec
[i] iter = 52900, loss = 0.3758, x_loss = 0.2077, l2_reg_loss = 0.1681, accuracy = 97.02, train_time = 7sec
[i] iter = 53000, loss = 0.3619, x_loss = 0.1936, l2_reg_loss = 0.1683, accuracy = 97.31, train_time = 7sec
[i] iter = 53100, loss = 0.3776, x_loss = 0.2092, l2_reg_loss = 0.1684, accuracy = 96.94, train_time = 7sec
[i] iter = 53200, loss = 0.3702, x_loss = 0.2018, l2_reg_loss = 0.1684, accuracy = 96.91, train_time = 7sec
[i] iter = 53300, loss = 0.3655, x_loss = 0.1973, l2_reg_loss = 0.1682, accuracy = 96.66, train_time = 7sec
[i] iter = 53400, loss = 0.3924, x_loss = 0.2243, l2_reg_loss = 0.1681, accuracy = 96.75, train_time = 7sec
[i] iter = 53500, loss = 0.3692, x_loss = 0.2005, l2_reg_loss = 0.1686, accuracy = 96.86, train_time = 7sec
[i] iter = 53600, loss = 0.3760, x_loss = 0.2077, l2_reg_loss = 0.1683, accuracy = 96.98, train_time = 7sec
[i] iter = 53700, loss = 0.3622, x_loss = 0.1940, l2_reg_loss = 0.1682, accuracy = 97.16, train_time = 7sec
[i] iter = 53800, loss = 0.3683, x_loss = 0.2002, l2_reg_loss = 0.1681, accuracy = 96.61, train_time = 7sec
[i] iter = 53900, loss = 0.3713, x_loss = 0.2034, l2_reg_loss = 0.1680, accuracy = 97.02, train_time = 7sec
[i] iter = 54000, loss = 0.3576, x_loss = 0.1900, l2_reg_loss = 0.1676, accuracy = 97.16, train_time = 7sec
[i] iter = 54100, loss = 0.3664, x_loss = 0.1988, l2_reg_loss = 0.1676, accuracy = 97.16, train_time = 7sec
[i] iter = 54200, loss = 0.3774, x_loss = 0.2098, l2_reg_loss = 0.1676, accuracy = 96.97, train_time = 7sec
[i] iter = 54300, loss = 0.3659, x_loss = 0.1977, l2_reg_loss = 0.1682, accuracy = 96.72, train_time = 7sec
[i] iter = 54400, loss = 0.3526, x_loss = 0.1846, l2_reg_loss = 0.1679, accuracy = 97.38, train_time = 7sec
[i] iter = 54500, loss = 0.3688, x_loss = 0.2011, l2_reg_loss = 0.1677, accuracy = 97.03, train_time = 7sec
[i] iter = 54600, loss = 0.3817, x_loss = 0.2139, l2_reg_loss = 0.1678, accuracy = 96.97, train_time = 7sec
[i] iter = 54700, loss = 0.3775, x_loss = 0.2096, l2_reg_loss = 0.1678, accuracy = 97.28, train_time = 7sec
[i] iter = 54800, loss = 0.3726, x_loss = 0.2044, l2_reg_loss = 0.1683, accuracy = 97.17, train_time = 7sec
[i] iter = 54900, loss = 0.3708, x_loss = 0.2027, l2_reg_loss = 0.1682, accuracy = 97.22, train_time = 7sec
[i] iter = 55000, loss = 0.3720, x_loss = 0.2038, l2_reg_loss = 0.1682, accuracy = 96.92, train_time = 7sec
[i] iter = 55000, test_accuracy = 92.64, test_time = 1sec
[i] iter = 55100, loss = 0.3684, x_loss = 0.2003, l2_reg_loss = 0.1680, accuracy = 96.75, train_time = 8sec
[i] iter = 55200, loss = 0.3682, x_loss = 0.2004, l2_reg_loss = 0.1678, accuracy = 97.25, train_time = 7sec
[i] iter = 55300, loss = 0.3620, x_loss = 0.1943, l2_reg_loss = 0.1678, accuracy = 97.47, train_time = 7sec
[i] iter = 55400, loss = 0.3621, x_loss = 0.1944, l2_reg_loss = 0.1678, accuracy = 96.94, train_time = 7sec
[i] iter = 55500, loss = 0.3656, x_loss = 0.1976, l2_reg_loss = 0.1680, accuracy = 97.30, train_time = 7sec
[i] iter = 55600, loss = 0.3763, x_loss = 0.2080, l2_reg_loss = 0.1684, accuracy = 97.08, train_time = 7sec
[i] iter = 55700, loss = 0.3786, x_loss = 0.2098, l2_reg_loss = 0.1688, accuracy = 96.95, train_time = 7sec
[i] iter = 55800, loss = 0.3819, x_loss = 0.2133, l2_reg_loss = 0.1686, accuracy = 96.94, train_time = 7sec
[i] iter = 55900, loss = 0.3723, x_loss = 0.2036, l2_reg_loss = 0.1687, accuracy = 97.38, train_time = 7sec
[i] iter = 56000, loss = 0.3706, x_loss = 0.2023, l2_reg_loss = 0.1683, accuracy = 97.16, train_time = 7sec
[i] iter = 56100, loss = 0.3800, x_loss = 0.2118, l2_reg_loss = 0.1682, accuracy = 97.12, train_time = 7sec
[i] iter = 56200, loss = 0.3729, x_loss = 0.2045, l2_reg_loss = 0.1684, accuracy = 97.05, train_time = 7sec
[i] iter = 56300, loss = 0.3695, x_loss = 0.2013, l2_reg_loss = 0.1682, accuracy = 96.83, train_time = 7sec
[i] iter = 56400, loss = 0.3718, x_loss = 0.2037, l2_reg_loss = 0.1681, accuracy = 97.05, train_time = 7sec
[i] iter = 56500, loss = 0.3504, x_loss = 0.1826, l2_reg_loss = 0.1678, accuracy = 97.52, train_time = 7sec
[i] iter = 56600, loss = 0.3679, x_loss = 0.2000, l2_reg_loss = 0.1680, accuracy = 97.25, train_time = 7sec
[i] iter = 56700, loss = 0.3654, x_loss = 0.1974, l2_reg_loss = 0.1680, accuracy = 96.98, train_time = 7sec
[i] iter = 56800, loss = 0.3854, x_loss = 0.2172, l2_reg_loss = 0.1681, accuracy = 96.91, train_time = 7sec
[i] iter = 56900, loss = 0.3745, x_loss = 0.2059, l2_reg_loss = 0.1686, accuracy = 96.81, train_time = 7sec
[i] iter = 57000, loss = 0.3683, x_loss = 0.2001, l2_reg_loss = 0.1682, accuracy = 96.78, train_time = 7sec
[i] iter = 57100, loss = 0.3666, x_loss = 0.1983, l2_reg_loss = 0.1682, accuracy = 97.36, train_time = 7sec
[i] iter = 57200, loss = 0.3486, x_loss = 0.1807, l2_reg_loss = 0.1679, accuracy = 97.55, train_time = 7sec
[i] iter = 57300, loss = 0.3507, x_loss = 0.1828, l2_reg_loss = 0.1679, accuracy = 97.53, train_time = 7sec
[i] iter = 57400, loss = 0.3691, x_loss = 0.2012, l2_reg_loss = 0.1679, accuracy = 97.17, train_time = 7sec
[i] iter = 57500, loss = 0.3705, x_loss = 0.2026, l2_reg_loss = 0.1679, accuracy = 97.14, train_time = 7sec
[i] iter = 57600, loss = 0.3606, x_loss = 0.1929, l2_reg_loss = 0.1677, accuracy = 97.20, train_time = 7sec
[i] iter = 57700, loss = 0.3749, x_loss = 0.2074, l2_reg_loss = 0.1675, accuracy = 96.86, train_time = 7sec
[i] iter = 57800, loss = 0.3600, x_loss = 0.1923, l2_reg_loss = 0.1676, accuracy = 97.38, train_time = 7sec
[i] iter = 57900, loss = 0.3774, x_loss = 0.2100, l2_reg_loss = 0.1674, accuracy = 97.20, train_time = 7sec
[i] iter = 58000, loss = 0.3543, x_loss = 0.1869, l2_reg_loss = 0.1674, accuracy = 97.36, train_time = 7sec
[i] iter = 58100, loss = 0.3682, x_loss = 0.2007, l2_reg_loss = 0.1675, accuracy = 97.16, train_time = 7sec
[i] iter = 58200, loss = 0.3709, x_loss = 0.2029, l2_reg_loss = 0.1680, accuracy = 97.14, train_time = 7sec
[i] iter = 58300, loss = 0.3858, x_loss = 0.2171, l2_reg_loss = 0.1687, accuracy = 96.84, train_time = 7sec
[i] iter = 58400, loss = 0.3712, x_loss = 0.2026, l2_reg_loss = 0.1687, accuracy = 96.89, train_time = 7sec
[i] iter = 58500, loss = 0.3598, x_loss = 0.1915, l2_reg_loss = 0.1683, accuracy = 97.47, train_time = 7sec
[i] iter = 58600, loss = 0.3647, x_loss = 0.1966, l2_reg_loss = 0.1680, accuracy = 97.09, train_time = 7sec
[i] iter = 58700, loss = 0.3840, x_loss = 0.2158, l2_reg_loss = 0.1682, accuracy = 96.42, train_time = 7sec
[i] iter = 58800, loss = 0.3728, x_loss = 0.2047, l2_reg_loss = 0.1680, accuracy = 97.00, train_time = 7sec
[i] iter = 58900, loss = 0.3628, x_loss = 0.1946, l2_reg_loss = 0.1682, accuracy = 97.12, train_time = 7sec
[i] iter = 59000, loss = 0.3774, x_loss = 0.2090, l2_reg_loss = 0.1684, accuracy = 96.89, train_time = 7sec
[i] iter = 59100, loss = 0.3772, x_loss = 0.2088, l2_reg_loss = 0.1684, accuracy = 97.09, train_time = 7sec
[i] iter = 59200, loss = 0.3514, x_loss = 0.1833, l2_reg_loss = 0.1681, accuracy = 97.41, train_time = 7sec
[i] iter = 59300, loss = 0.3573, x_loss = 0.1897, l2_reg_loss = 0.1676, accuracy = 97.19, train_time = 7sec
[i] iter = 59400, loss = 0.3595, x_loss = 0.1917, l2_reg_loss = 0.1678, accuracy = 97.44, train_time = 7sec
[i] iter = 59500, loss = 0.3594, x_loss = 0.1916, l2_reg_loss = 0.1678, accuracy = 97.28, train_time = 7sec
[i] iter = 59600, loss = 0.3476, x_loss = 0.1802, l2_reg_loss = 0.1673, accuracy = 97.12, train_time = 7sec
[i] iter = 59700, loss = 0.3792, x_loss = 0.2120, l2_reg_loss = 0.1672, accuracy = 96.83, train_time = 7sec
[i] iter = 59800, loss = 0.3694, x_loss = 0.2018, l2_reg_loss = 0.1675, accuracy = 97.30, train_time = 7sec
[i] iter = 59900, loss = 0.3807, x_loss = 0.2127, l2_reg_loss = 0.1680, accuracy = 97.05, train_time = 7sec
[i] iter = 60000, loss = 0.3517, x_loss = 0.1840, l2_reg_loss = 0.1678, accuracy = 97.17, train_time = 7sec
[i] iter = 60000, test_accuracy = 92.77, test_time = 1sec
[i] iter = 60100, loss = 0.3610, x_loss = 0.1932, l2_reg_loss = 0.1678, accuracy = 97.47, train_time = 8sec
[i] iter = 60200, loss = 0.3550, x_loss = 0.1876, l2_reg_loss = 0.1674, accuracy = 97.39, train_time = 7sec
[i] iter = 60300, loss = 0.3656, x_loss = 0.1981, l2_reg_loss = 0.1674, accuracy = 97.38, train_time = 7sec
[i] iter = 60400, loss = 0.3742, x_loss = 0.2067, l2_reg_loss = 0.1675, accuracy = 97.36, train_time = 7sec
[i] iter = 60500, loss = 0.3594, x_loss = 0.1915, l2_reg_loss = 0.1678, accuracy = 97.28, train_time = 7sec
[i] iter = 60600, loss = 0.3641, x_loss = 0.1964, l2_reg_loss = 0.1678, accuracy = 97.45, train_time = 7sec
[i] iter = 60700, loss = 0.3672, x_loss = 0.1992, l2_reg_loss = 0.1680, accuracy = 97.42, train_time = 7sec
[i] iter = 60800, loss = 0.3633, x_loss = 0.1954, l2_reg_loss = 0.1679, accuracy = 97.12, train_time = 7sec
[i] iter = 60900, loss = 0.3830, x_loss = 0.2155, l2_reg_loss = 0.1675, accuracy = 97.17, train_time = 7sec
[i] iter = 61000, loss = 0.3665, x_loss = 0.1989, l2_reg_loss = 0.1675, accuracy = 96.97, train_time = 7sec
[i] iter = 61100, loss = 0.3522, x_loss = 0.1849, l2_reg_loss = 0.1673, accuracy = 97.33, train_time = 7sec
[i] iter = 61200, loss = 0.3666, x_loss = 0.1993, l2_reg_loss = 0.1673, accuracy = 96.95, train_time = 7sec
[i] iter = 61300, loss = 0.3556, x_loss = 0.1884, l2_reg_loss = 0.1672, accuracy = 97.34, train_time = 7sec
[i] iter = 61400, loss = 0.3539, x_loss = 0.1870, l2_reg_loss = 0.1668, accuracy = 97.38, train_time = 7sec
[i] iter = 61500, loss = 0.3565, x_loss = 0.1899, l2_reg_loss = 0.1666, accuracy = 97.38, train_time = 7sec
[i] iter = 61600, loss = 0.3843, x_loss = 0.2172, l2_reg_loss = 0.1671, accuracy = 97.16, train_time = 7sec
[i] iter = 61700, loss = 0.3742, x_loss = 0.2065, l2_reg_loss = 0.1676, accuracy = 97.17, train_time = 7sec
[i] iter = 61800, loss = 0.3390, x_loss = 0.1716, l2_reg_loss = 0.1673, accuracy = 97.55, train_time = 7sec
[i] iter = 61900, loss = 0.3630, x_loss = 0.1961, l2_reg_loss = 0.1669, accuracy = 97.42, train_time = 7sec
[i] iter = 62000, loss = 0.3671, x_loss = 0.2002, l2_reg_loss = 0.1669, accuracy = 97.12, train_time = 7sec
[i] iter = 62100, loss = 0.3823, x_loss = 0.2151, l2_reg_loss = 0.1672, accuracy = 97.02, train_time = 7sec
[i] iter = 62200, loss = 0.3597, x_loss = 0.1925, l2_reg_loss = 0.1672, accuracy = 97.14, train_time = 7sec
[i] iter = 62300, loss = 0.3683, x_loss = 0.2013, l2_reg_loss = 0.1670, accuracy = 97.38, train_time = 7sec
[i] iter = 62400, loss = 0.3616, x_loss = 0.1943, l2_reg_loss = 0.1673, accuracy = 97.25, train_time = 7sec
[i] iter = 62500, loss = 0.3609, x_loss = 0.1934, l2_reg_loss = 0.1675, accuracy = 97.45, train_time = 7sec
[i] iter = 62600, loss = 0.3782, x_loss = 0.2108, l2_reg_loss = 0.1674, accuracy = 97.12, train_time = 7sec
[i] iter = 62700, loss = 0.3624, x_loss = 0.1946, l2_reg_loss = 0.1678, accuracy = 97.55, train_time = 7sec
[i] iter = 62800, loss = 0.3551, x_loss = 0.1874, l2_reg_loss = 0.1677, accuracy = 97.47, train_time = 7sec
[i] iter = 62900, loss = 0.3734, x_loss = 0.2058, l2_reg_loss = 0.1675, accuracy = 97.16, train_time = 7sec
[i] iter = 63000, loss = 0.3551, x_loss = 0.1874, l2_reg_loss = 0.1677, accuracy = 97.47, train_time = 7sec
[i] iter = 63100, loss = 0.3646, x_loss = 0.1970, l2_reg_loss = 0.1676, accuracy = 97.36, train_time = 7sec
[i] iter = 63200, loss = 0.3536, x_loss = 0.1862, l2_reg_loss = 0.1674, accuracy = 97.67, train_time = 7sec
[i] iter = 63300, loss = 0.3550, x_loss = 0.1879, l2_reg_loss = 0.1671, accuracy = 97.11, train_time = 7sec
[i] iter = 63400, loss = 0.3552, x_loss = 0.1878, l2_reg_loss = 0.1675, accuracy = 97.59, train_time = 7sec
[i] iter = 63500, loss = 0.3792, x_loss = 0.2114, l2_reg_loss = 0.1677, accuracy = 96.94, train_time = 7sec
[i] iter = 63600, loss = 0.3686, x_loss = 0.2003, l2_reg_loss = 0.1684, accuracy = 97.02, train_time = 7sec
[i] iter = 63700, loss = 0.3628, x_loss = 0.1945, l2_reg_loss = 0.1683, accuracy = 97.23, train_time = 7sec
[i] iter = 63800, loss = 0.3622, x_loss = 0.1940, l2_reg_loss = 0.1682, accuracy = 97.17, train_time = 7sec
[i] iter = 63900, loss = 0.3555, x_loss = 0.1876, l2_reg_loss = 0.1679, accuracy = 97.47, train_time = 7sec
[i] iter = 64000, loss = 0.3643, x_loss = 0.1968, l2_reg_loss = 0.1676, accuracy = 97.31, train_time = 7sec
[i] iter = 64100, loss = 0.3663, x_loss = 0.1988, l2_reg_loss = 0.1674, accuracy = 97.19, train_time = 7sec
[i] iter = 64200, loss = 0.3471, x_loss = 0.1796, l2_reg_loss = 0.1676, accuracy = 97.28, train_time = 7sec
[i] iter = 64300, loss = 0.3668, x_loss = 0.1994, l2_reg_loss = 0.1674, accuracy = 97.22, train_time = 7sec
[i] iter = 64400, loss = 0.3694, x_loss = 0.2021, l2_reg_loss = 0.1673, accuracy = 96.95, train_time = 7sec
[i] iter = 64500, loss = 0.3642, x_loss = 0.1964, l2_reg_loss = 0.1678, accuracy = 97.20, train_time = 7sec
[i] iter = 64600, loss = 0.3594, x_loss = 0.1915, l2_reg_loss = 0.1679, accuracy = 97.53, train_time = 7sec
[i] iter = 64700, loss = 0.3530, x_loss = 0.1856, l2_reg_loss = 0.1674, accuracy = 97.05, train_time = 7sec
[i] iter = 64800, loss = 0.3482, x_loss = 0.1811, l2_reg_loss = 0.1671, accuracy = 97.41, train_time = 7sec
[i] iter = 64900, loss = 0.3574, x_loss = 0.1904, l2_reg_loss = 0.1671, accuracy = 97.36, train_time = 7sec
[i] iter = 65000, loss = 0.3788, x_loss = 0.2117, l2_reg_loss = 0.1671, accuracy = 97.02, train_time = 7sec
[i] iter = 65000, test_accuracy = 92.68, test_time = 1sec
[i] iter = 65100, loss = 0.3567, x_loss = 0.1894, l2_reg_loss = 0.1674, accuracy = 97.62, train_time = 8sec
[i] iter = 65200, loss = 0.3703, x_loss = 0.2025, l2_reg_loss = 0.1677, accuracy = 97.14, train_time = 7sec
[i] iter = 65300, loss = 0.3762, x_loss = 0.2083, l2_reg_loss = 0.1679, accuracy = 97.11, train_time = 7sec
[i] iter = 65400, loss = 0.3691, x_loss = 0.2008, l2_reg_loss = 0.1684, accuracy = 97.36, train_time = 7sec
[i] iter = 65500, loss = 0.3534, x_loss = 0.1856, l2_reg_loss = 0.1678, accuracy = 97.06, train_time = 7sec
[i] iter = 65600, loss = 0.3601, x_loss = 0.1927, l2_reg_loss = 0.1674, accuracy = 97.36, train_time = 7sec
[i] iter = 65700, loss = 0.3567, x_loss = 0.1896, l2_reg_loss = 0.1670, accuracy = 97.30, train_time = 7sec
[i] iter = 65800, loss = 0.3715, x_loss = 0.2044, l2_reg_loss = 0.1671, accuracy = 97.03, train_time = 7sec
[i] iter = 65900, loss = 0.3549, x_loss = 0.1878, l2_reg_loss = 0.1671, accuracy = 97.62, train_time = 7sec
[i] iter = 66000, loss = 0.3611, x_loss = 0.1939, l2_reg_loss = 0.1671, accuracy = 97.17, train_time = 7sec
[i] iter = 66100, loss = 0.3594, x_loss = 0.1921, l2_reg_loss = 0.1672, accuracy = 97.33, train_time = 7sec
[i] iter = 66200, loss = 0.3576, x_loss = 0.1905, l2_reg_loss = 0.1671, accuracy = 96.86, train_time = 7sec
[i] iter = 66300, loss = 0.3614, x_loss = 0.1943, l2_reg_loss = 0.1671, accuracy = 97.11, train_time = 7sec
[i] iter = 66400, loss = 0.3651, x_loss = 0.1981, l2_reg_loss = 0.1670, accuracy = 97.52, train_time = 7sec
[i] iter = 66500, loss = 0.3688, x_loss = 0.2017, l2_reg_loss = 0.1671, accuracy = 97.39, train_time = 7sec
[i] iter = 66600, loss = 0.3616, x_loss = 0.1942, l2_reg_loss = 0.1674, accuracy = 97.08, train_time = 7sec
[i] iter = 66700, loss = 0.3529, x_loss = 0.1856, l2_reg_loss = 0.1673, accuracy = 97.56, train_time = 7sec
[i] iter = 66800, loss = 0.3517, x_loss = 0.1846, l2_reg_loss = 0.1671, accuracy = 97.62, train_time = 7sec
[i] iter = 66900, loss = 0.3510, x_loss = 0.1838, l2_reg_loss = 0.1671, accuracy = 97.84, train_time = 7sec
